"",".Dorms&GreeksMainList","School.Lookup.Table",".Town",".School.Lat",".School.Long",".Early.Voting.Name",".Early.Voting.Address",".EV.Lat",".EV.Long",".Miles.to.EV",".Walk.to.EV",".Dorm.Type.Spcfc",".is.greek",".Dorm.Name",".Dorm.Address",".Dorm.Lat",".Dorm.Long",".Mlbx.Name",".Mlbx.Address",".Ward",".PP.Name",".Polling.Place",".PP.Lat",".PP.Long"
"157","UWMadison - Sellery","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Sellery","821 W. Johnson St.
Madison, WI 53706",43.0716782999999,-89.4003408999999,NA,NA,57,"Gordon Dining, Voting Room
Dining Center","770 W Dayton St.
Madison, WI 53715",43.0711735999999,-89.3980844
"158","UWMadison - Sigma Alpha Epsilon","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Sigma Alpha Epsilon","627 N Lake St.
Madison, WI 53703",43.0768056,-89.3969944999999,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"159","UWMadison - Sigma Delta Tau","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Sigma Delta Tau","626 N Henry St.
Madison, WI 53703",43.0773103999999,-89.3935154999999,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"160","UWMadison - Sigma Lambda Beta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Sigma Lambda Beta","333 E Campus Mall #4301
Madison, WI 53715",43.0725361,-89.3987492999999,NA,NA,57,"Gordon Dining, Voting Room: Dining Center","770 W Dayton St.
Madison, WI 53715",43.0711735999999,-89.3980844
"161","UWMadison - Sigma Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Sigma Phi","106 N Prospect Ave
Madison, WI 53726",43.0698158999999,-89.4216421,NA,NA,63,"First Congregational Church","1609 University Ave
Madison, WI 53726",43.0731484999999,-89.4144333
"162","UWMadison - Sigma Pi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Sigma Pi","137/139 Langdon St.
Madison, WI 53703",43.076882,-89.3919456,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"163","UWMadison - Slichter","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Slichter","625 Babcock Dr.
Madison, WI 53706",43.0771235,-89.4122503,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"164","UWMadison - Smith","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Smith","35 N. Park St.
Madison, WI 53715",43.0689757,-89.4004166,NA,NA,58,"Smith Hall, Voting Room:
Laines Lounge","35 N Park St.
Madison, WI 53715",43.0689757,-89.4004166
"165","UWMadison - Sullivan","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Sullivan","635 Elm Dr.
Madison, WI 53706",43.0776593999999,-89.4156417,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"166","UWMadison - Susan B Davis","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Susan B Davis","917 W. Johnson St.
Madison, WI 53715",43.0718118,-89.4016346,NA,NA,58,"Smith Hall, Voting Room:
Laines Lounge","35 N Park St.
Madison, WI 53715",43.0689757,-89.4004166
"167","UWMadison - Tau Kappa Epsilon","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Tau Kappa Epsilon","216 Langdon St.
Madison, WI 53703",43.0765701,-89.393312,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"168","UWMadison - Theta Delta Chi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Theta Delta Chi","144 Langdon St.
Madison, WI 53703",43.0778593,-89.3925173,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"169","UWMadison - Triangle","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Triangle","148 N Breese Terrace
Madison, WI 53726",43.0714277,-89.4142287,NA,NA,63,"First Congregational Church","1609 University Ave
Madison, WI 53726",43.0731484999999,-89.4144333
"170","UWMadison - Tripp","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Tripp","1510 Tripp Cir
Madison, WI 53706",43.0780158,-89.4112588,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"171","UWMadison - Witte","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Witte","615 W. Johnson St.
Madison, WI 53706",43.0718801,-89.3972428,NA,NA,57,"Gordon Dining, Voting Room
Dining Center","770 W Dayton St.
Madison, WI 53715",43.0711735999999,-89.3980844
"172","UWMadison - Zeta Beta Tau","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Zeta Beta Tau","233 Langdon St.
Madison, WI 53703",43.0757926,-89.3932564999999,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"173","UWMadison - Zoe Bayliss Co-op","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Zoe Bayliss Co-op","915 W. Johnson St.
Madison, WI 53715",43.071815,-89.401366,NA,NA,58,"Smith Hall, Voting Room:
Laines Lounge","35 N Park St.
Madison, WI 53715",43.0689757,-89.4004166
"174","UWMilwaukee","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","UWMilwaukee - Cambridge Commons","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,"Campus",NA,"Cambridge Commons","2323 N Cambridge Ave
Milwaukee, WI 53211",43.0608118,-87.8919305,NA,NA,132,"Urban Ecology Center","1500 E Park Pl.
Milwaukee, WI 53211",43.0677104,-87.890783
"176","UWMilwaukee - Kenilworth Square","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,"Campus",NA,"Kenilworth Square Apartments","1915 E Kenilworth Pl
Milwaukee, WI 53202",43.0589814,-87.8858779,NA,NA,176,"Charles Allis Art Museum","1801 N Prospect Ave
Milwaukee, WI 53202",43.0537129999999,-87.8903733
"177","UWMilwaukee - Purin Hall","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,"Campus",NA,"Purin Hall","2600 E Kenwood Blvd
Milwaukee, WI 53211",43.0749396,-87.8776563999999,NA,NA,127,"Plymouth Church","2717 E Hampshire Ave
Milwaukee, WI 53211",43.0754132,-87.8761531999999
"178","UWMilwaukee - Riverview Hall","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,"Campus",NA,"Riverview Hall","2340 N Commerce St
Milwaukee, WI 53212",43.0605796,-87.894893,NA,NA,133,"Gordon Park Pavilion","2828 N Humboldt Blvd
Milwaukee, WI 53212",43.0700261,-87.8972375
"179","UWMilwaukee - Sandburg Hall","UW-Milwaukee","Milwaukee","43.0783° N","87.8819° W","UWM Student Union","2200 E Kenwood Blvd St. 
Milwaukee, WI 53211",NA,NA,0,0,"Campus",NA,"Sandburg Hall","3400 N Maryland Ave
Milwaukee, WI 53211",43.0792179,-87.8819003,NA,NA,31,"UWM Student Union","2200 E Kenwood Blvd
Milwaukee, WI 53211",43.0751922,-87.8813912
"180","UWOshkosh","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave
Oshkosh, WI 54903",NA,NA,0.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","UWOshKosh - Donner Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Donner Hall","820 High Ave
Oshkosh, WI 54901",44.0253837,-88.5523135999999,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"182","UWOshkosh - Evans Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Evans Hall","727 W Lincoln Ave
Oshkosh, WI 54901",44.0262935,-88.5472798999999,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"183","UWOshkosh - Fletcher Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Fletcher Hall","712 Elmwood Ave
Oshkosh, WI 54901",44.0253257,-88.5472042999999,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"184","UWOshkosh - Horizon Village","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Horizon Village","635 Elmwood Ave
Oshkosh, WI 54901",44.0238856,-88.5479974,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"185","UWOshkosh - North Scott Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"North Scoot Hall","625 Algoma Blvd
Oshkosh, WI 54901",44.0229542,-88.5476904,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"186","UWOshkosh - South Gruenhagen Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"South Gruenhagen","208 Osceola St
Oshkosh, WI 54901",44.0222223,-88.5487904,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"187","UWOshkosh - South Scott Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"South Scoot Hall","820 High Ave
Oshkosh, WI 54901",44.0253837,-88.5523135999999,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"188","UWOshkosh - Stewart Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Sewart Hall","723 W Lincoln Ave
Oshkosh, WI 54901",44.0259545,-88.5469399999999,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"189","UWOshkosh - Taylor Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Taylor Hall","780 High Ave
Oshkosh, WI 54901",44.0245583,-88.5512071,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"190","UWOshkosh - Webster Hall","UW-Oshkosh","Oshkosh","44.0263° N","88.5508° W","City of Oshkosh","215 Church Ave 
Oshkosh, WI 54903",NA,NA,0.4,8,"Campus",NA,"Webster Hall","810 High Ave
Oshkosh, WI 54901",44.0250103,-88.5516602,NA,NA,12,"Culver Family Center","625 Pearl Ave
Oshkosh, WI 54901",44.0205097,-88.5504124
"191","UWParkside","UW-Parkside","Parkside","42.6450° N","87.8517° W","Village & Town of Somers","7511 12th St.
Kenosha, WI 53144",NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","UWParkside - Pike River Suites","UW-Parkside","Parkside","42.6450° N","87.8517° W","Village & Town of Somers","7511 12th St.
Kenosha, WI 53144",NA,NA,2.7,NA,"Campus",NA,"Pike River Suites","3737 University Dr.
Kenosha, WI 53144",42.648581,-87.8543232999999,NA,NA,10,"Uw Parkside Sports Center","4130 Petrifying Springs Rd Kenosha, WI 53144",42.6414195,-87.8568752
"193","UWParkside - Ranger Hall","UW-Parkside","Parkside","42.6450° N","87.8517° W","Village & Town of Somers","7511 12th St.
Kenosha, WI 53144",NA,NA,2.7,NA,"Campus",NA,"Ranger Hall","4135 University Dr.
Kenosha, WI 53144",42.6470418,-87.8578527999999,NA,NA,10,"Uw Parkside Sports Center","4130 Petrifying Springs Rd Kenosha, WI 53144",42.6414195,-87.8568752
"194","UWParkside - University Apartments","UW-Parkside","Parkside","42.6450° N","87.8517° W","Village & Town of Somers","7511 12th St.
Kenosha, WI 53144",NA,NA,2.7,NA,"Campus",NA,"University Apartments","925 Eagle Heights Dr.
Madison, WI 53705",43.0843348,-89.4424887999999,NA,NA,62,"Eagle Heights Community Center","611 Eagle Hts Madison, WI 53705",43.088307,-89.4364937
"195","UWPlatteville","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","UWPlatteville -  McGregor Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"McGregor Hall","1000 Greenwood Ave
Platteville, WI 53818",42.7332669,-90.4909979999999,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"197","UWPlatteville -  Wilgus Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Wilgus Hall","1100 Greenwood Ave
Platteville, WI 53818",42.7332405999999,-90.4926765,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"198","UWPlatteville - Bridgeway Commons","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Bridgeway Commons","1200 Southwest Rd.
Platteville, WI 53818",42.7289328,-90.4921950999999,NA,NA,5,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"199","UWPlatteville - Dobson Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Dobson Hall","1200 Greenwood Ave
Platteville, WI 53818",42.7335393,-90.494226,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"200","UWPlatteville - Melcher Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Melcher Hall","50 S College Dr.
Platteville, WI 53818",42.734149,-90.4944474,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"201","UWPlatteville - Morrow Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Morrow Hall","1300 Greenwood Ave
Platteville, WI 53818",42.733379,-90.4959969,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"202","UWPlatteville - Porter Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Porter Hall","60 S College Dr.
Platteville, WI 53818",42.7339159,-90.4954066,NA,NA,6,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"203","UWPlatteville - Rountree Commons","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Rountree Commons","800 S Chestnut St.
Platteville, WI 53818",42.7272839,-90.4842292,NA,NA,8,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"204","UWPlatteville - Southwest Hall","UW-Platteville","Platteville","42.7339° N","90.5020° W","Platteville City Hall","75 N Bonson St.
Platteville, WI 53818",NA,NA,0.3,6,"Campus",NA,"Southwest Hall","1100 Southwest Rd.
Platteville, WI 53818",42.7282812,-90.4920863,NA,NA,5,"Ullsvik Hall , Voting Room: Velzy Commons","30 S Hickory St.
Platteville, WI 53818",42.7346767,-90.4849759999999
"205","UWRiverFalls","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","UWRiverFalls - Ames Suites","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Ames Suites","851 Wild Rose Ave
River Falls, WI 54022",44.8514144,-92.6144616,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"207","UWRiverFalls - Crabtree Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Crabtree Hall","850 E Cascade Ave
River Falls, WI 54022",44.8522374,-92.614702,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"208","UWRiverFalls - Grimm Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Grimm Hall","750 E Cascade Ave
River Falls, WI 54022",44.8529271,-92.6164850999999,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"209","UWRiverFalls - Hathorn Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Hathorn Hall","620 S Third St
River Falls, WI 54022",44.8519477,-92.6236778,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"210","UWRiverFalls - Johnson Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Johnson Hall","62 E Cascade Ave
River Falls, WI 54022",44.8535319,-92.6283481999999,NA,NA,13,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"211","UWRiverFalls - May Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"May Hall","124 E Cascade Ave
River Falls, WI 54022",44.8538508,-92.627185,NA,NA,13,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"212","UWRiverFalls - McMillan Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"McMillan Hall","700 E Cascade Ave
River Falls, WI 54022",44.8530589999999,-92.6171053,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"213","UWRiverFalls - Parker Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Parker Hall","800 E Cascade Ave
River Falls, WI 54022",44.852585,-92.6154772,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"214","UWRiverFalls - Prucha Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Prucha Hall","551 Spruce St
River Falls, WI 54022",44.853482,-92.6273401,NA,NA,13,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"215","UWRiverFalls - South Fork Suites","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"South Fork Suites","805 Wild Rose Ave
River Falls, WI 54022",44.8506622,-92.6149902,NA,NA,10,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"216","UWRiverFalls - Stratton Hall","UW-River Falls","River Falls","44.8533° N","92.6221° W","River Falls City Hall","222 Lewis St.
River Falls, WI 54022",NA,NA,0.8,16,"Campus",NA,"Stratton Hall","581 Spruce St
River Falls, WI 54022",44.8531168,-92.6273401,NA,NA,13,"UW-River Falls Falcon Center","1110 S Main St.
River Falls, WI 54022",44.8466819,-92.6266437
"217","UWStevensPoint","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","UWStevensPoint - Baldwin Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"​​Baldwin Hall","425 Isadore St.
Stevens Point, WI 54481",44.530598,-89.5729365,NA,NA,7,"Dreyfus University Center","1015 Reserve St. St.evens Point, WI 54481",44.5258157,-89.5689993
"219","UWStevensPoint - Burroughs Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Burroughs Hall","201 Isadore St.
Stevens Point, WI 54481",44.5328794,-89.5729365,NA,NA,31,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 54481",44.5255368,-89.5639693999999
"220","UWStevensPoint - Hansen Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Hansen Hall","409 Isadore St.
Stevens Point, WI 54481",44.5312573,-89.5721262,NA,NA,7,"Dreyfus University Center","1015 Reserve St. St.evens Point, WI 54481",44.5258157,-89.5689993
"221","UWStevensPoint - Hyer Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Hyer Hall","1319 Fremont St.
Stevens Point, WI 54481",44.5227764,-89.5676325,NA,NA,9,"Dreyfus University Center","1015 Reserve St., St.evens Point, WI 54481",44.5258157,-89.5689993
"222","UWStevensPoint - Knutzen Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Knutzen Hall","209 Isadore St.
Stevens Point, WI 54481",44.5328028,-89.5721262,NA,NA,31,"Stevens Point Recreation Center","2442 Sims Ave, St.evens Point, WI 54481",44.5255368,-89.5639693999999
"223","UWStevensPoint - May Roach Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"May Roach Hall","301 Reserve St.
Stevens Point, WI 54481",44.5316881,-89.5692531999999,NA,NA,4,"Stevens Point Recreation Center","2442 Sims Ave, St.evens Point, WI 54481",44.5255368,-89.5639693999999
"224","UWStevensPoint - ​​Neale Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Neale Hall","433 Isadore St.
Stevens Point, WI 54481",44.5306686,-89.5721262,NA,NA,7,"Dreyfus University Center","1015 Reserve St. St.evens Point, WI 54481",44.5258157,-89.5689993
"225","UWStevensPoint - Pray-Sims Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"Pray-Sims Hall","501 Reserve St.
Stevens Point, WI 54481",44.5299957,-89.5693269,NA,NA,4,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 54481",44.5255368,-89.5639693999999
"226","UWStevensPoint - ​Smith Hall","UW-Stevens Point","Stevens Point","44.5295° N","89.5712° W","City Clerk, City of Stevens Point","1515 Strongs Avenue
Stevens Point, WI 54481",NA,NA,1.5,NA,"Campus",NA,"​Smith Hall","409 Reserve St.
Stevens Point, WI 54481",44.530629,-89.5696418,NA,NA,4,"Stevens Point Recreation Center","2442 Sims Ave St.evens Point, WI 5448",44.5255368,-89.5639693999999
